pollster,numeric_grade,state,population,created_at,hypothetical,candidate_name,pct
Suffolk,2.9,National,lv,10/21/24 08:20,FALSE,Kamala Harris,45.3
Suffolk,2.9,National,lv,10/21/24 08:20,FALSE,Kamala Harris,49.7
U. North Florida,2.8,Florida,lv,10/21/24 08:43,FALSE,Kamala Harris,43
AtlasIntel,2.7,National,lv,10/20/24 13:11,FALSE,Kamala Harris,47.6
AtlasIntel,2.7,National,lv,10/20/24 13:11,FALSE,Kamala Harris,48.1
AtlasIntel,2.7,Arizona,lv,10/20/24 13:11,FALSE,Kamala Harris,48.6
AtlasIntel,2.7,Arizona,lv,10/20/24 13:11,FALSE,Kamala Harris,49.3
AtlasIntel,2.7,Georgia,lv,10/20/24 13:11,FALSE,Kamala Harris,48.1
AtlasIntel,2.7,Georgia,lv,10/20/24 13:11,FALSE,Kamala Harris,48.4
AtlasIntel,2.7,Michigan,lv,10/20/24 13:11,FALSE,Kamala Harris,47.3
AtlasIntel,2.7,Nevada,lv,10/20/24 13:11,FALSE,Kamala Harris,48.1
AtlasIntel,2.7,Nevada,lv,10/20/24 13:11,FALSE,Kamala Harris,48.4
AtlasIntel,2.7,North Carolina,lv,10/20/24 13:11,FALSE,Kamala Harris,49.5
AtlasIntel,2.7,North Carolina,lv,10/20/24 13:11,FALSE,Kamala Harris,50.5
AtlasIntel,2.7,Pennsylvania,lv,10/20/24 13:11,FALSE,Kamala Harris,46.5
AtlasIntel,2.7,Pennsylvania,lv,10/20/24 13:11,FALSE,Kamala Harris,47.4
AtlasIntel,2.7,Wisconsin,lv,10/20/24 13:11,FALSE,Kamala Harris,49
Emerson,2.9,National,lv,10/18/24 08:42,FALSE,Kamala Harris,49.5
YouGov,3,Arizona,lv,10/17/24 19:50,FALSE,Kamala Harris,48
YouGov,3,National,lv,10/16/24 09:34,FALSE,Kamala Harris,49
Washington Post/George Mason University,2.7,Arizona,lv,10/21/24 09:23,FALSE,Kamala Harris,46
Washington Post/George Mason University,2.7,Georgia,lv,10/21/24 09:23,FALSE,Kamala Harris,51
Washington Post/George Mason University,2.7,Michigan,lv,10/21/24 09:24,FALSE,Kamala Harris,49
Washington Post/George Mason University,2.7,Nevada,lv,10/21/24 09:24,FALSE,Kamala Harris,48
Washington Post/George Mason University,2.7,North Carolina,lv,10/21/24 09:24,FALSE,Kamala Harris,47
Washington Post/George Mason University,2.7,Pennsylvania,lv,10/21/24 09:24,FALSE,Kamala Harris,49
Washington Post/George Mason University,2.7,Wisconsin,lv,10/21/24 09:24,FALSE,Kamala Harris,50
Emerson,2.9,California,lv,10/16/24 10:18,FALSE,Kamala Harris,61
Beacon/Shaw,2.8,National,lv,10/16/24 19:25,FALSE,Kamala Harris,48
Quinnipiac,2.8,Georgia,lv,10/16/24 14:01,FALSE,Kamala Harris,45
Quinnipiac,2.8,Georgia,lv,10/16/24 14:02,FALSE,Kamala Harris,46
Quinnipiac,2.8,North Carolina,lv,10/16/24 14:01,FALSE,Kamala Harris,49
Quinnipiac,2.8,North Carolina,lv,10/16/24 14:02,FALSE,Kamala Harris,50
SurveyUSA,2.8,Washington,lv,10/16/24 10:18,FALSE,Kamala Harris,57
Ipsos,2.8,National,lv,10/15/24 14:41,FALSE,Kamala Harris,47
YouGov,3,National,lv,10/13/24 14:23,FALSE,Kamala Harris,51
Marist,2.9,National,lv,10/16/24 09:34,FALSE,Kamala Harris,52
Siena/NYT,3,Pennsylvania,lv,10/12/24 10:39,FALSE,Kamala Harris,50
Siena/NYT,3,Pennsylvania,lv,10/12/24 10:39,FALSE,Kamala Harris,49
Siena/NYT,3,Arizona,lv,10/12/24 10:39,FALSE,Kamala Harris,46
Siena/NYT,3,Arizona,lv,10/12/24 10:39,FALSE,Kamala Harris,45
University of Massachusetts Lowell/YouGov,2.9,New Hampshire,lv,10/17/24 08:55,FALSE,Kamala Harris,50
YouGov,3,Texas,lv,10/18/24 09:14,FALSE,Kamala Harris,46
Marquette Law School,3,National,lv,10/16/24 09:34,FALSE,Kamala Harris,50
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,lv,10/17/24 08:55,FALSE,Kamala Harris,46
Emerson,2.9,Arizona,lv,10/10/24 08:53,FALSE,Kamala Harris,48.2
Emerson,2.9,Georgia,lv,10/10/24 08:53,FALSE,Kamala Harris,49.8
Emerson,2.9,Michigan,lv,10/10/24 08:53,FALSE,Kamala Harris,49.7
Emerson,2.9,Nevada,lv,10/10/24 08:53,FALSE,Kamala Harris,49.2
Emerson,2.9,North Carolina,lv,10/10/24 08:53,FALSE,Kamala Harris,49
Emerson,2.9,Pennsylvania,lv,10/10/24 08:53,FALSE,Kamala Harris,49
Emerson,2.9,Wisconsin,lv,10/10/24 08:53,FALSE,Kamala Harris,49.2
Siena/NYT,3,Montana,lv,10/10/24 08:54,FALSE,Kamala Harris,40
Siena/NYT,3,Montana,lv,10/10/24 08:54,FALSE,Kamala Harris,39
Ipsos,2.8,National,lv,10/13/24 14:23,FALSE,Kamala Harris,50
Ipsos,2.8,National,lv,10/13/24 14:23,FALSE,Kamala Harris,51
YouGov,3,National,lv,10/9/24 09:38,FALSE,Kamala Harris,49
Ipsos,2.8,National,lv,10/8/24 09:11,FALSE,Kamala Harris,47
Ipsos,2.8,National,lv,10/8/24 09:11,FALSE,Kamala Harris,51
Quinnipiac,2.8,Michigan,lv,10/9/24 14:04,FALSE,Kamala Harris,47
Quinnipiac,2.8,Michigan,lv,10/9/24 14:04,FALSE,Kamala Harris,47
Quinnipiac,2.8,Pennsylvania,lv,10/9/24 14:04,FALSE,Kamala Harris,49
Quinnipiac,2.8,Pennsylvania,lv,10/9/24 14:04,FALSE,Kamala Harris,49
Quinnipiac,2.8,Wisconsin,lv,10/9/24 14:04,FALSE,Kamala Harris,46
Quinnipiac,2.8,Wisconsin,lv,10/9/24 14:04,FALSE,Kamala Harris,47
Marist,2.9,Florida,lv,10/10/24 08:53,FALSE,Kamala Harris,47
Marist,2.9,Texas,lv,10/10/24 08:53,FALSE,Kamala Harris,46
Marist,2.9,Ohio,lv,10/10/24 08:53,FALSE,Kamala Harris,46
The Washington Post,3,Ohio,lv,10/10/24 08:53,FALSE,Kamala Harris,45
Siena/NYT,3,National,lv,10/8/24 09:11,FALSE,Kamala Harris,49
Siena/NYT,3,National,lv,10/8/24 09:11,FALSE,Kamala Harris,47
Siena/NYT,3,Florida,lv,10/8/24 09:11,FALSE,Kamala Harris,41
Siena/NYT,3,Florida,lv,10/8/24 09:11,FALSE,Kamala Harris,40
Suffolk,2.9,Massachusetts,lv,10/8/24 09:11,FALSE,Kamala Harris,61.2
YouGov,3,National,lv,10/7/24 09:51,FALSE,Kamala Harris,47
YouGov,3,National,lv,10/7/24 13:44,FALSE,Kamala Harris,48
Siena/NYT,3,Texas,lv,10/8/24 09:11,FALSE,Kamala Harris,44
Siena/NYT,3,Texas,lv,10/8/24 09:11,FALSE,Kamala Harris,42
Christopher Newport U.,2.8,Virginia,lv,10/7/24 14:37,FALSE,Kamala Harris,52
YouGov,3,National,lv,10/2/24 09:27,FALSE,Kamala Harris,49
Emerson,2.9,National,lv,10/3/24 08:55,FALSE,Kamala Harris,50.2
Marist,2.9,National,lv,10/3/24 20:09,FALSE,Kamala Harris,50
The Washington Post,3,North Carolina,lv,10/1/24 09:15,FALSE,Kamala Harris,48
Quinnipiac,2.8,North Carolina,lv,10/1/24 14:08,FALSE,Kamala Harris,47
Quinnipiac,2.8,North Carolina,lv,10/1/24 14:08,FALSE,Kamala Harris,48
Quinnipiac,2.8,Georgia,lv,10/1/24 14:08,FALSE,Kamala Harris,44
Quinnipiac,2.8,Georgia,lv,10/1/24 14:08,FALSE,Kamala Harris,45
Emerson,2.9,Arizona,lv,10/1/24 15:14,FALSE,Kamala Harris,47.6
Emerson,2.9,North Carolina,lv,10/1/24 15:14,FALSE,Kamala Harris,49.1
Emerson,2.9,Pennsylvania,lv,10/1/24 19:32,FALSE,Kamala Harris,49.3
McCourtney Institute/YouGov,3,National,lv,10/8/24 09:11,FALSE,Kamala Harris,48
Siena/NYT,3,Nebraska CD-2,lv,9/28/24 10:31,FALSE,Kamala Harris,52
Siena/NYT,3,Nebraska CD-2,lv,9/28/24 10:31,FALSE,Kamala Harris,51
SurveyUSA,2.8,Minnesota,lv,9/27/24 08:59,FALSE,Kamala Harris,50
Siena/NYT,3,Michigan,lv,9/28/24 10:30,FALSE,Kamala Harris,48
Siena/NYT,3,Michigan,lv,9/28/24 10:31,FALSE,Kamala Harris,46
Siena/NYT,3,Ohio,lv,9/28/24 10:31,FALSE,Kamala Harris,44
Siena/NYT,3,Ohio,lv,9/28/24 10:31,FALSE,Kamala Harris,43
Siena/NYT,3,Wisconsin,lv,9/28/24 10:31,FALSE,Kamala Harris,49
Siena/NYT,3,Wisconsin,lv,9/28/24 10:31,FALSE,Kamala Harris,48
Marquette Law School,3,Wisconsin,lv,10/2/24 14:50,FALSE,Kamala Harris,52
Echelon Insights,2.7,National,lv,9/26/24 13:09,FALSE,Kamala Harris,52
Emerson,2.9,New York,lv,9/27/24 08:59,FALSE,Kamala Harris,55.5
CNN/SSRS,2.8,North Carolina,lv,9/27/24 12:46,FALSE,Kamala Harris,48
CNN/SSRS,2.8,Nebraska CD-2,lv,9/27/24 12:46,FALSE,Kamala Harris,53
AtlasIntel,2.7,Arizona,lv,9/29/24 13:12,FALSE,Kamala Harris,48.6
AtlasIntel,2.7,Arizona,lv,9/29/24 13:12,FALSE,Kamala Harris,48.6
AtlasIntel,2.7,Michigan,lv,9/29/24 13:12,FALSE,Kamala Harris,47.2
AtlasIntel,2.7,Nevada,lv,9/29/24 13:12,FALSE,Kamala Harris,50.6
AtlasIntel,2.7,Nevada,lv,9/29/24 13:12,FALSE,Kamala Harris,50.5
AtlasIntel,2.7,Pennsylvania,lv,9/29/24 13:12,FALSE,Kamala Harris,48
AtlasIntel,2.7,Pennsylvania,lv,9/29/24 13:13,FALSE,Kamala Harris,48.1
AtlasIntel,2.7,Wisconsin,lv,9/29/24 13:13,FALSE,Kamala Harris,48.2
AtlasIntel,2.7,North Carolina,lv,9/29/24 13:12,FALSE,Kamala Harris,50.8
AtlasIntel,2.7,North Carolina,lv,9/29/24 13:12,FALSE,Kamala Harris,50.5
AtlasIntel,2.7,Georgia,lv,9/29/24 13:12,FALSE,Kamala Harris,49
AtlasIntel,2.7,Georgia,lv,9/29/24 13:12,FALSE,Kamala Harris,49
Emerson,2.9,Texas,lv,9/26/24 08:47,FALSE,Kamala Harris,46.7
Emerson,2.9,Virginia,lv,9/26/24 08:47,FALSE,Kamala Harris,52.7
YouGov,3,National,lv,9/25/24 09:39,FALSE,Kamala Harris,49
YouGov,3,Georgia,lv,9/25/24 19:56,FALSE,Kamala Harris,49
Beacon/Shaw,2.8,Arizona,lv,9/26/24 19:31,FALSE,Kamala Harris,47
Beacon/Shaw,2.8,Arizona,lv,9/26/24 19:31,FALSE,Kamala Harris,48
Beacon/Shaw,2.8,Georgia,lv,9/26/24 19:31,FALSE,Kamala Harris,50
Beacon/Shaw,2.8,Georgia,lv,9/26/24 19:31,FALSE,Kamala Harris,51
Beacon/Shaw,2.8,North Carolina,lv,9/27/24 19:02,FALSE,Kamala Harris,47
Beacon/Shaw,2.8,North Carolina,lv,9/27/24 19:02,FALSE,Kamala Harris,49
Beacon/Shaw,2.8,Pennsylvania,lv,9/27/24 19:02,FALSE,Kamala Harris,47
Beacon/Shaw,2.8,Pennsylvania,lv,9/27/24 19:02,FALSE,Kamala Harris,49
Marist,2.9,Arizona,lv,9/26/24 08:46,FALSE,Kamala Harris,49
Marist,2.9,North Carolina,lv,9/26/24 08:47,FALSE,Kamala Harris,49
Marist,2.9,Georgia,lv,9/26/24 08:47,FALSE,Kamala Harris,49
Suffolk,2.9,Arizona,lv,9/27/24 08:59,FALSE,Kamala Harris,42.4
SurveyUSA,2.8,Nebraska,lv,9/25/24 09:02,FALSE,Kamala Harris,40
Ipsos,2.8,National,lv,9/24/24 14:51,FALSE,Kamala Harris,50
CNN/SSRS,2.8,National,lv,9/24/24 12:17,FALSE,Kamala Harris,48
Quinnipiac,2.8,National,lv,9/24/24 14:41,FALSE,Kamala Harris,47
Quinnipiac,2.8,National,lv,9/24/24 14:41,FALSE,Kamala Harris,48
Siena/NYT,3,Arizona,lv,9/23/24 08:43,FALSE,Kamala Harris,45
Siena/NYT,3,Arizona,lv,9/23/24 08:43,FALSE,Kamala Harris,43
Siena/NYT,3,Georgia,lv,9/23/24 08:43,FALSE,Kamala Harris,45
Siena/NYT,3,Georgia,lv,9/23/24 08:43,FALSE,Kamala Harris,44
Siena/NYT,3,North Carolina,lv,9/23/24 08:43,FALSE,Kamala Harris,47
Siena/NYT,3,North Carolina,lv,9/23/24 08:43,FALSE,Kamala Harris,45
YouGov,3,National,lv,9/22/24 13:22,FALSE,Kamala Harris,52
Muhlenberg,2.8,Pennsylvania,lv,9/25/24 09:02,FALSE,Kamala Harris,48
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,lv,9/26/24 10:43,FALSE,Kamala Harris,48
Emerson,2.9,Arizona,lv,9/19/24 09:21,FALSE,Kamala Harris,48.7
Emerson,2.9,Georgia,lv,9/19/24 09:21,FALSE,Kamala Harris,48.2
Emerson,2.9,Michigan,lv,9/19/24 09:21,FALSE,Kamala Harris,50
Emerson,2.9,Nevada,lv,9/19/24 09:21,FALSE,Kamala Harris,48.8
Emerson,2.9,Pennsylvania,lv,9/19/24 09:21,FALSE,Kamala Harris,49.6
Emerson,2.9,North Carolina,lv,9/19/24 09:21,FALSE,Kamala Harris,49.7
Emerson,2.9,Wisconsin,lv,9/19/24 09:21,FALSE,Kamala Harris,48.7
MassINC Polling Group,2.8,Pennsylvania,lv,9/20/24 20:25,FALSE,Kamala Harris,50
MassINC Polling Group,2.8,Pennsylvania,lv,9/20/24 20:25,FALSE,Kamala Harris,52
MassINC Polling Group,2.8,Massachusetts,lv,9/23/24 08:43,FALSE,Kamala Harris,63
SurveyUSA,2.8,New Mexico,lv,9/24/24 09:12,FALSE,Kamala Harris,50
MassINC Polling Group,2.8,Wisconsin,lv,9/23/24 09:29,FALSE,Kamala Harris,53
MassINC Polling Group,2.8,Rhode Island,lv,9/24/24 09:15,FALSE,Kamala Harris,56
Marist,2.9,Pennsylvania,lv,9/19/24 09:21,FALSE,Kamala Harris,49
Marist,2.9,Wisconsin,lv,9/19/24 09:21,FALSE,Kamala Harris,50
Marist,2.9,Michigan,lv,9/19/24 09:21,FALSE,Kamala Harris,52
Beacon/Shaw,2.8,National,lv,9/18/24 20:04,FALSE,Kamala Harris,50
Quinnipiac,2.8,Pennsylvania,lv,9/18/24 13:07,FALSE,Kamala Harris,51
Quinnipiac,2.8,Pennsylvania,lv,9/18/24 13:07,FALSE,Kamala Harris,51
Quinnipiac,2.8,Michigan,lv,9/18/24 13:07,FALSE,Kamala Harris,50
Quinnipiac,2.8,Michigan,lv,9/18/24 13:07,FALSE,Kamala Harris,51
Quinnipiac,2.8,Wisconsin,lv,9/18/24 13:07,FALSE,Kamala Harris,48
Quinnipiac,2.8,Wisconsin,lv,9/18/24 13:07,FALSE,Kamala Harris,49
The Washington Post,3,Pennsylvania,lv,9/19/24 09:21,FALSE,Kamala Harris,48
The Washington Post,3,Pennsylvania,lv,9/19/24 09:21,FALSE,Kamala Harris,48
Siena/NYT,3,National,lv,9/19/24 09:21,FALSE,Kamala Harris,47
Siena/NYT,3,National,lv,9/19/24 09:21,FALSE,Kamala Harris,46
Siena,2.7,New York,lv,9/19/24 09:22,FALSE,Kamala Harris,52
Siena,2.7,New York,lv,9/19/24 09:22,FALSE,Kamala Harris,55
Siena/NYT,3,Pennsylvania,lv,9/19/24 09:21,FALSE,Kamala Harris,50
Siena/NYT,3,Pennsylvania,lv,9/19/24 09:22,FALSE,Kamala Harris,49
Suffolk,2.9,Pennsylvania,lv,9/17/24 09:24,FALSE,Kamala Harris,48.6
Emerson,2.9,Maryland,lv,9/17/24 09:24,FALSE,Kamala Harris,65.3
Emerson,2.9,Missouri,lv,9/17/24 09:24,FALSE,Kamala Harris,43.4
Emerson,2.9,Indiana,lv,9/17/24 09:24,FALSE,Kamala Harris,40.7
YouGov,3,National,lv,9/14/24 13:38,FALSE,Kamala Harris,50
YouGov,3,National,lv,9/14/24 19:34,FALSE,Kamala Harris,49
Ipsos,2.8,National,lv,9/15/24 12:59,FALSE,Kamala Harris,52
Ipsos,2.8,National,lv,9/15/24 12:59,FALSE,Kamala Harris,51
AtlasIntel,2.7,National,lv,9/14/24 19:34,FALSE,Kamala Harris,48
AtlasIntel,2.7,National,lv,9/14/24 19:34,FALSE,Kamala Harris,47.3
Data Orbital,2.9,Arizona,lv,9/17/24 15:21,FALSE,Kamala Harris,46
Quinnipiac,2.8,North Carolina,lv,9/9/24 20:36,FALSE,Kamala Harris,49
Quinnipiac,2.8,North Carolina,lv,9/9/24 20:36,FALSE,Kamala Harris,50
Quinnipiac,2.8,Georgia,lv,9/9/24 20:36,FALSE,Kamala Harris,45
Quinnipiac,2.8,Georgia,lv,9/9/24 20:36,FALSE,Kamala Harris,46
Washington Post/George Mason University,2.7,Virginia,lv,9/10/24 09:14,FALSE,Kamala Harris,50
Washington Post/George Mason University,2.7,Virginia,lv,9/10/24 09:14,FALSE,Kamala Harris,51
SurveyUSA,2.8,North Carolina,lv,9/9/24 16:59,FALSE,Kamala Harris,49
YouGov,3,Michigan,lv,9/8/24 13:36,FALSE,Kamala Harris,50
YouGov,3,Pennsylvania,lv,9/8/24 13:36,FALSE,Kamala Harris,50
YouGov,3,Wisconsin,lv,9/8/24 13:36,FALSE,Kamala Harris,51
Siena/NYT,3,National,lv,9/8/24 13:36,FALSE,Kamala Harris,47
Siena/NYT,3,National,lv,9/8/24 13:36,FALSE,Kamala Harris,45
Emerson,2.9,California,lv,9/6/24 10:57,FALSE,Kamala Harris,60.8
Emerson,2.9,Florida,lv,9/6/24 10:57,FALSE,Kamala Harris,47.6
Emerson,2.9,Texas,lv,9/6/24 10:57,FALSE,Kamala Harris,48
Emerson,2.9,Ohio,lv,9/6/24 10:57,FALSE,Kamala Harris,44.7
Marquette Law School,3,Wisconsin,lv,9/11/24 14:29,FALSE,Kamala Harris,52
Emerson,2.9,National,lv,9/5/24 13:36,FALSE,Kamala Harris,51.3
SurveyUSA,2.8,Minnesota,lv,8/30/24 21:09,FALSE,Kamala Harris,48
CNN/SSRS,2.8,Arizona,lv,9/4/24 08:51,FALSE,Kamala Harris,44
CNN/SSRS,2.8,Georgia,lv,9/4/24 08:51,FALSE,Kamala Harris,48
CNN/SSRS,2.8,Nevada,lv,9/4/24 08:51,FALSE,Kamala Harris,48
CNN/SSRS,2.8,Pennsylvania,lv,9/4/24 08:51,FALSE,Kamala Harris,47
CNN/SSRS,2.8,Wisconsin,lv,9/4/24 08:51,FALSE,Kamala Harris,50
Emerson,2.9,Arizona,lv,8/29/24 09:39,FALSE,Kamala Harris,47.5
Emerson,2.9,Michigan,lv,8/29/24 09:39,FALSE,Kamala Harris,51.2
Emerson,2.9,Nevada,lv,8/29/24 09:39,FALSE,Kamala Harris,49.4
Emerson,2.9,Pennsylvania,lv,8/29/24 09:39,FALSE,Kamala Harris,49.4
Emerson,2.9,Wisconsin,lv,8/29/24 09:39,FALSE,Kamala Harris,49.1
Emerson,2.9,North Carolina,lv,8/29/24 09:39,FALSE,Kamala Harris,49
Emerson,2.9,Georgia,lv,8/29/24 09:39,FALSE,Kamala Harris,50.1
Suffolk,2.9,National,lv,8/29/24 09:40,FALSE,Kamala Harris,47.6
Quinnipiac,2.8,National,lv,8/29/24 14:01,FALSE,Kamala Harris,49
Quinnipiac,2.8,National,lv,8/29/24 14:01,FALSE,Kamala Harris,49
Ipsos,2.8,National,lv,9/1/24 11:42,FALSE,Kamala Harris,52
Echelon Insights,2.7,National,lv,8/26/24 13:31,FALSE,Kamala Harris,48
Echelon Insights,2.7,National,lv,8/26/24 13:31,FALSE,Kamala Harris,48
YouGov,3,Pennsylvania,lv,9/9/24 16:59,FALSE,Kamala Harris,47
YouGov,3,Wisconsin,lv,9/9/24 16:59,FALSE,Kamala Harris,51
YouGov,3,Michigan,lv,9/9/24 16:59,FALSE,Kamala Harris,47
SurveyUSA/High Point University,2.8,North Carolina,lv,8/23/24 09:44,FALSE,Kamala Harris,47
YouGov,3,National,lv,8/18/24 12:01,FALSE,Kamala Harris,51
YouGov,3,Missouri,lv,8/29/24 09:39,FALSE,Kamala Harris,41
Siena/NYT,3,Nevada,lv,8/17/24 12:27,FALSE,Kamala Harris,47
Siena/NYT,3,Arizona,lv,8/17/24 12:27,FALSE,Kamala Harris,50
Emerson,2.9,Pennsylvania,lv,8/16/24 12:42,FALSE,Kamala Harris,49.3
Emerson,2.9,National,lv,8/15/24 09:31,FALSE,Kamala Harris,52.3
Siena/NYT,3,North Carolina,lv,8/17/24 12:27,FALSE,Kamala Harris,49
Siena/NYT,3,Georgia,lv,8/17/24 12:27,FALSE,Kamala Harris,46
Ipsos,2.8,National,lv,8/18/24 12:01,FALSE,Kamala Harris,51
Quinnipiac,2.8,Pennsylvania,lv,8/14/24 14:03,FALSE,Kamala Harris,50
Siena/NYT,3,Pennsylvania,lv,8/10/24 15:16,FALSE,Kamala Harris,50
Siena/NYT,3,Michigan,lv,8/10/24 15:16,FALSE,Kamala Harris,50
Siena/NYT,3,Wisconsin,lv,8/10/24 15:16,FALSE,Kamala Harris,50
Emerson,2.9,Montana,lv,8/8/24 09:19,FALSE,Kamala Harris,42.5
SurveyUSA,2.8,National,lv,8/5/24 17:27,FALSE,Kamala Harris,48
YouGov,3,National,lv,8/4/24 12:54,FALSE,Kamala Harris,50
Siena,2.7,New York,lv,8/6/24 09:17,FALSE,Kamala Harris,53
Marquette Law School,3,Wisconsin,lv,8/7/24 14:11,FALSE,Kamala Harris,50
Marquette Law School,3,National,lv,8/8/24 09:19,FALSE,Kamala Harris,53
U. North Florida,2.8,Florida,lv,7/30/24 09:22,FALSE,Kamala Harris,42
SurveyUSA,2.8,Minnesota,lv,7/26/24 20:33,FALSE,Kamala Harris,50
Siena/NYT,3,National,lv,7/25/24 14:48,FALSE,Kamala Harris,47
Echelon Insights,2.7,National,lv,7/22/24 10:54,FALSE,Kamala Harris,47
YouGov,3,National,lv,7/18/24 17:37,FALSE,Kamala Harris,48
SurveyUSA,2.8,National,lv,7/18/24 09:43,FALSE,Kamala Harris,42
SurveyUSA,2.8,Washington,lv,7/17/24 15:29,FALSE,Kamala Harris,51
Siena/NYT,3,Virginia,lv,7/15/24 12:28,FALSE,Kamala Harris,49
Siena/NYT,3,Pennsylvania,lv,7/15/24 12:28,FALSE,Kamala Harris,47
SurveyUSA,2.8,National,lv,7/18/24 09:43,FALSE,Kamala Harris,39
Siena/NYT,3,National,lv,3/4/24 14:46,FALSE,Kamala Harris,42
Siena/NYT,3,Arizona,lv,11/5/23 10:59,FALSE,Kamala Harris,43
Siena/NYT,3,Georgia,lv,11/5/23 10:59,FALSE,Kamala Harris,44
Siena/NYT,3,Michigan,lv,11/5/23 10:59,FALSE,Kamala Harris,48
Siena/NYT,3,Nevada,lv,11/5/23 10:59,FALSE,Kamala Harris,42
Siena/NYT,3,Pennsylvania,lv,11/5/23 10:59,FALSE,Kamala Harris,44
Siena/NYT,3,Wisconsin,lv,11/5/23 10:59,FALSE,Kamala Harris,46
Suffolk,2.9,Florida,lv,9/21/22 09:46,FALSE,Kamala Harris,44.4
Echelon Insights,2.7,National,lv,7/20/22 20:39,FALSE,Kamala Harris,46
Echelon Insights,2.7,National,lv,4/22/22 15:00,FALSE,Kamala Harris,43
